SF3,
10.76,1046
10.77,1053
10.78,1060
10.79,1068
10.8,1075
10.81,1082
10.82,1089
10.83,1097
10.84,1104
10.85,1111
10.86,1119
10.87,1126
10.88,1134
10.89,1141
10.9,1149
10.91,1156
10.92,1164
10.93,1171
10.94,1179
10.95,1187
10.96,1194
10.97,1202
10.98,1210
10.99,1218
11,1226
11.01,1234
11.02,1241
11.03,1249
11.04,1257
11.05,1265
11.06,1274
11.07,1282
11.08,1290
11.09,1298
11.1,1306
11.11,1314
11.12,1323
11.13,1331
11.14,1339
11.15,1348
11.16,1356
11.17,1365
11.18,1373
11.19,1382
11.2,1390
11.21,1399
11.22,1407
11.23,1416
11.24,1425
11.25,1434
11.26,1442
11.27,1451
11.28,1460
11.29,1469
11.3,1478
11.31,1487
11.32,1496
11.33,1505
11.34,1514
11.35,1523
11.36,1532
11.37,1541
11.38,1551
11.39,1560
11.4,1569
11.41,1578
11.42,1588
11.43,1597
11.44,1607
11.45,1616
11.46,1626
11.47,1635
11.48,1645
11.49,1655
11.5,1664
11.51,1674
11.52,1684
11.53,1693
11.54,1703
11.55,1713
11.56,1723
11.57,1733
11.58,1743
11.59,1753
11.6,1763
11.61,1773
11.62,1783
11.63,1794
11.64,1804
11.65,1814
11.66,1824
11.67,1835
11.68,1845
11.69,1856
11.7,1866
11.71,1876
11.72,1887
11.73,1898
11.74,1908
11.75,1919
11.76,1930
11.77,1940
11.78,1951
11.79,1962
11.8,1973
11.81,1984
11.82,1995
11.83,2006
11.84,2017
11.85,2028
11.86,2039
11.87,2050
11.88,2061
11.89,2072
11.9,2084
11.91,2095
11.92,2106
11.93,2118
11.94,2129
11.95,2141
11.96,2152
11.97,2164
11.98,2175
11.99,2187
12,2199
12.01,2211
12.02,2222
12.03,2234
12.04,2246
12.05,2258
12.06,2270
12.07,2282
12.08,2294
12.09,2306
12.1,2318
12.11,2330
12.12,2343
12.13,2355
12.14,2367
12.15,2379
12.16,2392
12.17,2404
12.18,2417
12.19,2429
12.2,2442
12.21,2454
12.22,2467
12.23,2480
12.24,2492
12.25,2505
12.26,2518
12.27,2531
12.28,2544
12.29,2557
12.3,2570
12.31,2583
12.32,2596
12.33,2609
12.34,2622
12.35,2636
12.36,2649
12.37,2662
12.38,2675
12.39,2689
12.4,2702
12.41,2716
12.42,2729
12.43,2743
12.44,2757
12.45,2770
12.46,2784
12.47,2798
12.48,2812
12.49,2826
12.5,2839
12.51,2853
12.52,2867
12.53,2881
12.54,2896
12.55,2910
12.56,2924
12.57,2938
12.58,2952
12.59,2967
12.6,2981
12.61,2996
12.62,3010
12.63,3025
12.64,3039
12.65,3054
12.66,3069
12.67,3083
12.68,3098
12.69,3113
12.7,3128
12.71,3143
12.72,3158
12.73,3173
12.74,3188
12.75,3203
12.76,3218
12.77,3233
